Array Size,Execution Time (ms)
10,1
100,0
1000,5
10000,45
100000,1728
1000000,125418
10,0
100,0
1000,1
10000,44
100000,1676
1000000,125827
10,1
100,0
1000,1
10000,45
100000,1489
1000000,121402
10,0
100,0
1000,1
10000,42
100000,1480
1000000,121637
10,0
100,0
1000,1
10000,42
100000,1502
1000000,121336
10,0
100,0
1000,1
10000,45
100000,1503
1000000,123406
10,0
100,0
1000,1
10000,53
100000,1546
1000000,128144
10,0
100,0
1000,1
10000,42
100000,1503
1000000,129844
10,0
100,0
1000,1
10000,41
100000,1529
1000000,125635
